amount,club,rnd,state
23986,"Canberra Bmx Club, Inc.",1,ACT
2840,Canberra Dragon Boat Association Inc,1,ACT
10531,Reid Tennis Club,1,ACT
200000,Woden Valley Gymnastics,1,ACT
20563,Arawang Netball Association,2,ACT
454430,Canberra Netball Association,2,ACT
140000,South Canberra Gymnastics Club,2,ACT
10530,Southlands Tennis Club,2,ACT
198960,Act And Southern New South Wales Rugby Union Brumbies Ltd,3,ACT
50000,Molonglo Juggernauts Australian Rules Football Club,3,ACT
47996,Riding For The Disabled Of The Act Inc (Pegasus),3,ACT
215569,University Of Canberra Union (Ucu),3,ACT
200000,Woden Valley Gymnastics,3,ACT
60000,Alexander Park Dressage Club Inc,1,NSW
60000,Ballina Tennis Club Inc.,1,NSW
197000,Bar Beach Tennis Club Incorporation,1,NSW
125000,Beecroft Rugby Club Incorporated,1,NSW
170620,Churches Football Association Sydney Inc,1,NSW
15075,Cumberland Council,1,NSW
50000,Eastwood Ryde Netball Association Inc.,1,NSW
200000,Eurobodalla Shire Council,1,NSW
43000,Evans Head Bombers Rugby League Football Club,1,NSW
154300,Football South Coast Limited,1,NSW
178335,Forbes Shire Council,1,NSW
377587,Goulburn Mulwaree Council,1,NSW
24500,Goulburn Railway Tennis Club Inc,1,NSW
178856,Grafton Sporting Car Club Inc.,1,NSW
25000,Harwood Cricket Club,1,NSW
100000,Hawkesbury Sports Council Inc.,1,NSW
27270,Highlands District Cricket Association Inc,1,NSW
50000,Kemps Creek United Soccer Club,1,NSW
50000,La Perouse Local Aboriginal Land Council,1,NSW
200000,Lilli Pilli Football Club Inc,1,NSW
2400,Lindfield Tennis Club,1,NSW
500000,Maitland Rugby Union Football Club Inc.,1,NSW
144936,Mangoplah Cookardinia United Eastlakes Football And Netball Club,1,NSW
20000,Moruya Tennis Club - Under Auspices Of Moruya Bowling And Recreation Club,1,NSW
455471,Mungindi Junior Rugby League Inc,1,NSW
4260,Muswellbrook Little Athletics Centre Incorporated,1,NSW
178379,Nambucca Shire Council,1,NSW
75000,Northbridge Sailing Club Ltd,1,NSW
170000,Northern Beaches Council,1,NSW
25000,Northern Storm Football And Sports Club,1,NSW
50000,Nsw Biathlon Association,1,NSW
50000,Penrith City Council,1,NSW
200000,Penrith City Council,1,NSW
104624,Police Citizens Youth Club Nsw Ltd (Pcyc Lake Macquarie),1,NSW
134210,Police Citizens Youth Clubs Nsw Ltd (Singleton),1,NSW
70000,Queenscliff Surf Life Saving Club Ltd,1,NSW
38629,Scone Gymnastics Club Incorporated,1,NSW
80279,Shoalhaven District Football Association,1,NSW
20000,Shoalhaven Heads Chamber Of Commerce & Tourism Inc,1,NSW
20503,South East Junior Oztag Association,1,NSW
119660,Southern Ettalong Football Club,1,NSW
200000,St. George Rowing Club,1,NSW
500000,St. George Football Association,1,NSW
95821,Sydney Bmx Club,1,NSW
40000,Tamworth Junior Riding And Pony Club Inc,1,NSW
5245,The Scout Association Of Australia Nsw Branch,1,NSW
27708,Tweed Shire Council,1,NSW
45000,Vaucluse Amateur 12' Sailing Club Inc,1,NSW
39700,Wakehurst Tennis,1,NSW
480000,Wallerawang Bowling Club,1,NSW
46186,Weethalle Recreation Ground Committee,1,NSW
15695,Werris Creek Golf Club Ltd.,1,NSW
48000,Willow Tree Bowling Club,1,NSW
50000,Wollongong Wolves Football Club Ltd,1,NSW
70000,Woollahra Municipal Council,1,NSW
500000,Yass Valley Council,1,NSW
50000,Armidale Tennis Club Inc,2,NSW
50000,Bathurst Regional Council,2,NSW
50000,Black Range Pony Club,2,NSW
180000,Blacktown City Council,2,NSW
175000,Blue Mountains City Council,2,NSW
26000,Blue Mountains District Rugby Football Club,2,NSW
