,amount,club,rnd,state,address,lat,lng,name,types,electorate
0,23986,Canberra Bmx Club,1,ACT,"Bmx Track, 15 Copland Dr, Melba ACT 2615, Australia",-35.2168119,149.0537802,Canberra BMX Club,"point_of_interest,establishment",Fenner
1,2840,Canberra Dragon Boat Association,1,ACT,"Mariner Pl, Yarralumla ACT 2600, Australia",-35.299843,149.118089,Canberra Dragon Boating Association,"point_of_interest,establishment",Canberra
2,10531,Reid Tennis Club,1,ACT,"17A Dirrawan Gardens, Reid ACT 2612, Australia",-35.2816408,149.1405969,Reid Tennis Club,"point_of_interest,establishment",Canberra
3,200000,Woden Valley Gymnastics,1,ACT,"27 Mulley Street, Weston Creek ACT 2611, Australia",-35.332408,149.0495585,Woden Valley Gymnastics,"gym,health,point_of_interest,establishment",Canberra
4,20563,Arawang Netball Association,2,ACT,"Sherratt Pl, Stirling ACT 2611, Australia",-35.3489884,149.0445802,Arawang Netball Courts,"point_of_interest,establishment",Canberra
5,454430,Canberra Netball Association,2,ACT,"435 Northbourne Ave, Lyneham ACT 2602, Australia",-35.245048,149.1340686,Canberra Netball Association,"point_of_interest,establishment",Fenner
6,140000,South Canberra Gymnastics Club,2,ACT,"13-31 Gartside St, Wanniassa ACT 2903, Australia",-35.4052618,149.0995952,Southern Canberra Gymnastics Club Inc,"gym,health,point_of_interest,establishment",Canberra
7,10530,Southlands Tennis Club,2,ACT,"Mawson ACT 2607, Australia",-35.3671333,149.0947046,Southlands Tennis Club,"point_of_interest,establishment",Canberra
8,47996,Riding For The Disabled Of The Act (Pegasus),3,ACT,"119 Drake-Brockman Dr, Holt ACT 2615, Australia",-35.2339093,149.0201326,Pegasus Riding for the Disabled,"point_of_interest,establishment",Fenner
9,215569,University Of Canberra Union (Ucu),3,ACT,"11 Kirinari St, Bruce ACT 2617, Australia",-35.2384551,149.0844455,University of Canberra,"university,point_of_interest,establishment",Fenner
10,200000,Woden Valley Gymnastics,3,ACT,"27 Mulley Street, Weston Creek ACT 2611, Australia",-35.332408,149.0495585,Woden Valley Gymnastics,"gym,health,point_of_interest,establishment",Canberra
11,60000,Alexander Park Dressage Club,1,NSW,"1445 Richardson Rd, Salt Ash NSW 2318, Australia",-32.7841513,151.8949714,Alexander Park Dressage Club,"point_of_interest,establishment",Paterson
12,60000,Ballina Tennis Club,1,NSW,"Cherry St, Ballina NSW 2478, Australia",-28.865793,153.563522,Ballina Tennis Club,"point_of_interest,establishment",Richmond
13,197000,Bar Beach Tennis Club Orporation,1,NSW,"7 Kilgour Ave, Bar Beach NSW 2300, Australia",-32.9406442,151.764176,Empire Park Tennis Courts,"point_of_interest,establishment",Newcastle
14,170620,Churches Football Association Sydney,1,NSW,"3/9 Chester Hill Rd, Chester Hill NSW 2162, Australia",-33.8834972,151.0008896,NSW Churches Football Association,"point_of_interest,establishment",Blaxland
15,15075,Cumberland Council,1,NSW,"Cumberland Council, NSW, Australia",-33.83720870000001,150.9656452,Cumberland Council,"administrative_area_level_2,political",McMahon
16,50000,Eastwood Ryde Netball Association,1,NSW,"Meadowbank Park Adelaide St, Meadowbank NSW 2114, Australia",-33.8171714,151.082634,Eastwood Ryde Netball Association,"point_of_interest,establishment",Bennelong
17,200000,Eurobodalla Shire Council,1,NSW,"Eurobodalla, NSW, Australia",-35.8894726,149.9334764,Eurobodalla,"administrative_area_level_2,political",Gilmore
18,154300,Football South Coast Limited,1,NSW,"11 Bourke St, Fairy Meadow NSW 2519, Australia",-34.3966274,150.8940528,Football South Coast,"point_of_interest,establishment",Cunningham
19,178335,Forbes Shire Council,1,NSW,"Forbes, NSW, Australia",-33.40219010000001,147.9162555,Forbes,"administrative_area_level_2,political",Riverina
20,377587,Goulburn Mulwaree Council,1,NSW,"Goulburn Mulwaree, NSW, Australia",-34.8812017,149.7487272,Goulburn Mulwaree,"administrative_area_level_2,political",Hume
21,24500,Goulburn Railway Tennis Club,1,NSW,"16 Bruce St, Goulburn NSW 2580, Australia",-34.7488236,149.7262421,Goulburn Railway Tennis Club,"point_of_interest,establishment",Hume
22,178856,Grafton Sporting Car Club,1,NSW,"262 Clarence Way, Mountain View NSW 2460, Australia",-29.5879351,152.9236408,Grafton Sporting Car Club Inc,"point_of_interest,establishment",Page
23,25000,Harwood Cricket Club,1,NSW,"38 Harwood Mill Rd, Harwood NSW 2465, Australia",-29.424535,153.244578,Harwood Cricket Ground,"point_of_interest,establishment",Page
24,100000,Hawkesbury Sports Council,1,NSW,"2 Stewart St, South Windsor NSW 2756, Australia",-33.6259107,150.804472,Hawkesbury Sports Council,"local_government_office,point_of_interest,establishment",Macquarie
25,50000,Kemps Creek United Soccer Club,1,NSW,"1490 Elizabeth Dr, Cecil Park NSW 2178, Australia",-33.8818097,150.8056351,Kemps Creek Sporting & Bowling Club,"point_of_interest,establishment",Werriwa
26,50000,La Perouse Local Aboriginal Land Council,1,NSW,"1 Elaroo Ave, Phillip Bay NSW 2036, Australia",-33.9816749,151.2310778,La Perouse Local Aboriginal Land Council,"point_of_interest,establishment",Kingsford Smith
27,200000,Lilli Pilli Football Club,1,NSW,"105/501A Port Hacking Rd, Caringbah NSW 2229, Australia",-34.063359,151.1191507,Lilli Pilli Football Club,"point_of_interest,establishment",Cook
28,2400,Lindfield Tennis Club,1,NSW,"11 Russell Ave, Lindfield NSW 2070, Australia",-33.7763844,151.1710745,Lindfield Tennis Club,"point_of_interest,establishment",Bradfield
29,500000,Maitland Rugby Union Football Club,1,NSW,"51 Glenarvon Rd, Lorn NSW 2320, Australia",-32.7246069,151.569888,Maitland Blacks Rugby Club,"point_of_interest,establishment",Lyne
30,20000,Moruya Tennis Club - Under Auspices Of Moruya Bowling And Recreation Club,1,NSW,"Shore St, Moruya NSW 2537, Australia",-35.9072165,150.0756249,Moruya Bowling & Recreational Club,"point_of_interest,establishment",Gilmore
31,178379,Nambucca Shire Council,1,NSW,"Nambucca, NSW, Australia",-30.666463,152.7323884,Nambucca,"administrative_area_level_2,political",Cowper
32,75000,Northbridge Sailing Club Ltd,1,NSW,"Bethwaite Ln, Northbridge NSW 2063, Australia",-33.8053678,151.2302408,Northbridge Sailing Club,"point_of_interest,establishment",North Sydney
33,170000,Northern Beaches Council,1,NSW,"Northern Beaches Council, NSW, Australia",-33.6759923,151.2568777,Northern Beaches Council,"administrative_area_level_2,political",Mackellar
34,25000,Northern Storm Football And Sports Club,1,NSW,"Coffs Harbour NSW 2450, Australia",-30.2824708,153.1369352,Northern Storm Football Club,"point_of_interest,establishment",Cowper
35,50000,Nsw Biathlon Association,1,NSW,"4 Marie Dodd Cres, Blakehurst NSW 2221, Australia",-33.9956048,151.110511,NSW Biathlon Association,"point_of_interest,establishment",Cook
36,50000,Penrith City Council,1,NSW,"Penrith, NSW, Australia",-33.80484879999999,150.7214362,Penrith,"administrative_area_level_2,political",Lindsay
37,200000,Penrith City Council,1,NSW,"Penrith, NSW, Australia",-33.80484879999999,150.7214362,Penrith,"administrative_area_level_2,political",Lindsay
38,104624,Police Citizens Youth Club Nsw Ltd (Pcyc Lake Macquarie),1,NSW,"Lake St, Windale NSW 2306, Australia",-32.9923516,151.6867716,PCYC Lake Macquarie,"gym,health,point_of_interest,establishment",Shortland
39,134210,Police Citizens Youth Clubs Nsw Ltd (Singleton),1,NSW,"25 High St, Singleton NSW 2330, Australia",-32.5621464,151.1763038,PCYC Singleton,"gym,health,point_of_interest,establishment",Hunter
40,70000,Queenscliff Surf Life Saving Club Ltd,1,NSW,"N Steyne & Collingwood St, Manly NSW 2095, Australia",-33.7859429,151.2877987,Queenscliff Surf Life Saving Club,"point_of_interest,establishment",Warringah
41,80279,Shoalhaven District Football Association,1,NSW,"Shoalhaven NSW 2535, Australia",-34.84376,150.5918205,Shoalhaven District Tennis Association,"point_of_interest,establishment",Gilmore
42,20000,Shoalhaven Heads Chamber Of Commerce & Tourism,1,NSW,"9/11 Celia Parade, Shoalhaven Heads NSW 2535, Australia",-34.855848,150.736218,Shoalhaven Heads Native Botanic Garden,"park,tourist_attraction,point_of_interest,establishment",Gilmore
43,20503,South East Junior Oztag Association,1,NSW,"u1/181 Taren Point Rd, Caringbah NSW 2229, Australia",-34.0275428,151.1196949,The Oztag Shop,"store,point_of_interest,establishment",Cook
44,200000,St George Rowing Club,1,NSW,"21 Verona Range, Como NSW 2226, Australia",-33.9994617,151.0696183,St George Rowing Club,"point_of_interest,establishment",Hughes
45,500000,St George Football Association,1,NSW,"Peakhurst Park, Trafalgar St, Peakhurst NSW 2210, Australia",-33.9585386,151.0575432,St George Football Association,"point_of_interest,establishment",Banks
46,95821,Sydney Bmx Club,1,NSW,"Unnamed Road, Sydney Olympic Park NSW 2127, Australia",-33.8351577,151.069806,Sydney BMX Club,"point_of_interest,establishment",Reid
47,5245,The Scout Association Of Australia Nsw Branch,1,NSW,"1 Carrington Ave, Hurstville NSW 2220, Australia",-33.96456149999999,151.0995385,Scout Association of Australia,"point_of_interest,establishment",Barton
48,27708,Tweed Shire Council,1,NSW,"Tweed, NSW, Australia",-28.3541283,153.3446649,Tweed,"administrative_area_level_2,political",Richmond
49,45000,Vaucluse Amateur 12' Sailing Club,1,NSW,"Wharf Rd, Vaucluse NSW 2030, Australia",-33.8467514,151.2795454,Vaucluse Amateur 12 foot Sailing Club,"point_of_interest,establishment",Wentworth
50,39700,Wakehurst Tennis,1,NSW,"02 99079180 Upper, Clontarf St, Seaforth NSW 2092, Australia",-33.7807499,151.2439053,Wakehurst Tennis,"point_of_interest,establishment",Warringah
51,480000,Wallerawang Bowling Club,1,NSW,"Mackenzie St, Wallerawang NSW 2845, Australia",-33.4122961,150.0653469,Wallerawang Bowling Club,"bar,restaurant,food,point_of_interest,establishment",Calare
52,15695,Werris Creek Golf Club Ltd,1,NSW,"Werris Creek NSW 2341, Australia",-31.3437349,150.6337435,Werris Creek Golf Club,"point_of_interest,establishment",New England
53,48000,Willow Tree Bowling Club,1,NSW,"66 Pryor St, Quirindi NSW 2343, Australia",-31.5066547,150.6824389,Quirindi Bowling Club,"point_of_interest,establishment",New England
54,50000,Wollongong Wolves Football Club Ltd,1,NSW,"32 Waverley Dr, Unanderra NSW 2526, Australia",-34.4589797,150.8431938,Wollongong Wolves,"point_of_interest,establishment",Whitlam
55,70000,Woollahra Municipal Council,1,NSW,"Woollahra, NSW, Australia",-33.8815526,151.2393885,Woollahra,"administrative_area_level_2,political",Wentworth
56,500000,Yass Valley Council,1,NSW,"Yass Valley, NSW, Australia",-34.9445333,148.8289611,Yass Valley,"administrative_area_level_2,political",Eden-Monaro
