,amount,club,rnd,state,address,lat,lng,name,types,electorate
0,198960,Act And Southern New South Wales Rugby Union Brumbies Ltd,3,ACT,,,,,,
1,50000,Molonglo Juggernauts Australian Rules Football Club,3,ACT,,,,,,
2,125000,Beecroft Rugby Club Orporated,1,NSW,,,,,,
3,43000,Evans Head Bombers Rugby League Football Club,1,NSW,,,,,,
4,27270,Highlands District Cricket Association,1,NSW,,,,,,
5,144936,Mangoplah Cookardinia United Eastlakes Football And Netball Club,1,NSW,,,,,,
6,455471,Mungindi Junior Rugby League Inc,1,NSW,,,,,,
7,4260,Muswellbrook Little Athletics Centre Orporated,1,NSW,,,,,,
8,38629,Scone Gymnastics Club Orporated,1,NSW,,,,,,
9,119660,Southern Ettalong Football Club,1,NSW,,,,,,
10,40000,Tamworth Junior Riding And Pony Club,1,NSW,,,,,,
11,46186,Weethalle Recreation Ground Committee,1,NSW,,,,,,
12,127489,Charlestown District Cricket Club,2,NSW,,,,,,
13,15840,Gloucester District Tennis Association,2,NSW,,,,,,
14,40000,Kootingal And District Pony Club,2,NSW,,,,,,
15,173441,Merriwagga Racecourse And Recreation Reserve Land Manager,2,NSW,,,,,,
16,500000,Northern Sydney And Beaches Hockey Association,2,NSW,,,,,,
17,39000,Taree Basketball Association,2,NSW,,,,,,
18,18000,Wollongong Cardinals Baseball Club,2,NSW,,,,,,
19,75499,Breeza Progress Association Orporated,3,NSW,,,,,,
20,145000,Candelo Campdraft Association,3,NSW,,,,,,
21,100000,Forest Rangers Football Club Orporated,3,NSW,,,,,,
22,200000,Hockey Coffs Coast,3,NSW,,,,,,
23,91220,Mt Annan Football Club,3,NSW,,,,,,
24,19425,Muswellbrook And District Junior Rugby League Football Club,3,NSW,,,,,,
25,50000,Queanbeyan District Cricket Club Orporated,3,NSW,,,,,,
26,488399,Southern Ettalong Football Club,3,NSW,,,,,,
27,42500,St George Amd Sutherland Shire Giants Baseball Club Orporated,3,NSW,,,,,,
28,33000,Urunga Cricket Club Orporated,3,NSW,,,,,,
29,450000,Wagga Wagga And District Amateur Football Association Orporated,3,NSW,,,,,,
30,102251,Alice Springs Baseball Association,2,NT,,,,,,
31,239050,Nhulunbuy Bmx Club,2,NT,,,,,,
32,303682,Alice Springs Indian Community Cricket Club (Alice Tigers),3,NT,,,,,,
33,146284,Kumbia Tennis Association,1,QLD,,,,,,
34,66036,Mundubbera Horse & Pony Club,1,QLD,,,,,,
35,451900,Peninsula And Districts Football And Sporting Club Orporated,1,QLD,,,,,,
36,228869,Rockhampton Basketball Orporated,1,QLD,,,,,,
37,330000,Capricorn Coast Netball Association,2,QLD,,,,,,
38,99817,Edmonton Storm Seniors Rugby League Club,2,QLD,,,,,,
39,30000,Gladstone District Dirtriders Club,2,QLD,,,,,,
40,398497,Mount Isa Amatuer Netball Association Orporation,2,QLD,,,,,,
41,187700,Northern Beaches United Football Club,2,QLD,,,,,,
42,317923,Squash Aystralia Pty Ltd,2,QLD,,,,,,
43,50000,Chinchilla Squash Club,3,QLD,,,,,,
44,200000,Jandowae And District Tennis Association Orporated,3,QLD,,,,,,
45,46897,Lowood And District Memorial Bowls Club Inc,3,QLD,,,,,,
46,44840,South Western Metro Basketball,3,QLD,,,,,,
47,146200,Yeppoon Swans Afl Club,3,QLD,,,,,,
48,22182,Crystal Brook Junior Basketball Club,1,SA,,,,,,
49,422420,Kadina Hockey Club Orporated,1,SA,,,,,,
50,48000,Rsmu Netball Club,1,SA,,,,,,
51,45000,Lock And Districts Swimming Centre,2,SA,,,,,,
52,43000,Parndana Sports Club,2,SA,,,,,,
53,2500,Perponda Sports Club,2,SA,,,,,,
54,47689,Sa Field And Game Association - Southern Branch,2,SA,,,,,,
55,385000,Sturt District Cricket Club (Sdcc),2,SA,,,,,,
56,113148,Wirrabara Sporting Reserve Committee,2,SA,,,,,,
57,7000,Wudinna Tennis Club,2,SA,,,,,,
58,266000,Kalangadoo War Memorial Park And Community Sports Club,3,SA,,,,,,
59,173788,St Marys Park Sports Association Orporated,3,SA,,,,,,
60,1850,Ballarat South Senior Citizens Centre,1,VIC,,,,,,
61,4291,Eureka Orienteers,1,VIC,,,,,,
62,246500,Raise The Roof Benalla,1,VIC,,,,,,
63,22000,Horsham Little Athletics Centre,2,VIC,,,,,,
64,53800,Southern Malle Giants Football Netball Club,2,VIC,,,,,,
65,20000,Beaufort And District Adult Riding Club,3,VIC,,,,,,
66,127000,Winchelsea Cricket Club,3,VIC,,,,,,
67,25000,Bolgart Sports Club (),1,WA,,,,,,
68,11000,Modernians Hockey Club,1,WA,,,,,,
69,15000,Yerecoin Tennis Club (Orporated),1,WA,,,,,,
70,38925,Yuna Tennis Club,1,WA,,,,,,
71,15000,Binnu Tennis Club Orporated,2,WA,,,,,,
72,40502,East Kimberley Cricket Association,2,WA,,,,,,
73,50000,Esperance Cycling Club,2,WA,,,,,,
74,16458,Golden West Dolphin Swimming Club Trading As Australind Swimming Club,2,WA,,,,,,
75,49850,Chidlow Cats Basketball Club,3,WA,,,,,,
76,45850,Mahogany Creek Progress Association,3,WA,,,,,,
77,200000,Margaret River Hockey Club,3,WA,,,,,,
78,45000,Modernians Hockey Club,3,WA,,,,,,
79,50000,Mount Walker Sports Club,3,WA,,,,,,
